
0, 0, 1, 8, 3, 0
0, 0, 5, 3, 8, 0
0, 0, 8, 3, 5, 1
0, 0, 11, 5, 3, 1
0, 1, 8, 1, 0, 0
0, 1, 8, 3, 0, 0
0, 1, 8, 3, 1, 0
0, 1, 8, 3, 3, 0
0, 1, 8, 3, 5, 0
0, 1, 8, 3, 8, 0
0, 3, 5, 11, 0, 1
0, 3, 8, 1, 0, 0
0, 5, 3, 5, 0, 0
0, 5, 3, 8, 0, 0
0, 5, 3, 8, 1, 0
0, 5, 3, 8, 3, 0
0, 5, 3, 8, 5, 0
0, 5, 3, 8, 8, 0
0, 8, 3, 5, 0, 0
0, 8, 3, 5, 3, 1
0, 8, 3, 5, 5, 1
0, 8, 3, 5, 8, 1
0, 8, 3, 5, 11, 1
0, 8, 3, 8, 0, 1
0, 11, 5, 3, 0, 1
0, 11, 5, 3, 3, 1
0, 11, 5, 3, 5, 1
0, 11, 5, 3, 8, 1
0, 11, 5, 3, 11, 1
0, 11, 5, 11, 0, 1
1, 0, 1, 8, 3, 0
1, 0, 5, 3, 8, 0
1, 1, 8, 3, 5, 0
1, 3, 8, 1, 0, 0
1, 5, 3, 8, 1, 0
1, 8, 3, 5, 0, 0
1, 8, 3, 5, 1, 0
1, 8, 3, 5, 3, 0
1, 8, 3, 5, 5, 0
1, 8, 3, 5, 8, 0
1, 8, 3, 8, 1, 0
3, 0, 1, 8, 3, 0
3, 0, 5, 3, 8, 0
3, 0, 8, 3, 5, 1
3, 0, 11, 5, 3, 1
3, 1, 8, 3, 5, 0
3, 3, 5, 11, 0, 1
3, 3, 8, 1, 0, 0
3, 5, 0, 1, 8, 0
3, 5, 0, 5, 3, 0
3, 5, 3, 8, 0, 1
3, 5, 3, 8, 1, 0
3, 5, 11, 0, 0, 1
3, 5, 11, 0, 3, 1
3, 5, 11, 0, 5, 1
3, 5, 11, 0, 8, 1
3, 5, 11, 0, 11, 1
3, 5, 11, 5, 3, 1
3, 8, 0, 8, 3, 1
3, 8, 0, 11, 5, 1
3, 8, 1, 0, 0, 0
3, 8, 1, 0, 1, 0
3, 8, 1, 0, 3, 0
3, 8, 1, 0, 5, 0
3, 8, 1, 0, 8, 0
3, 8, 1, 8, 3, 0
3, 8, 3, 5, 0, 0
3, 8, 3, 5, 11, 1
3, 11, 5, 3, 8, 1
5, 0, 1, 8, 3, 0
5, 0, 5, 3, 8, 0
5, 0, 8, 3, 5, 1
5, 0, 11, 5, 3, 1
5, 1, 8, 3, 5, 0
5, 3, 5, 11, 0, 1
5, 3, 8, 0, 0, 1
5, 3, 8, 0, 3, 1
5, 3, 8, 0, 5, 1
5, 3, 8, 0, 8, 1
5, 3, 8, 0, 11, 1
5, 3, 8, 1, 0, 0
5, 3, 8, 1, 1, 0
5, 3, 8, 1, 3, 0
5, 3, 8, 1, 5, 0
5, 3, 8, 1, 8, 0
5, 3, 8, 3, 5, 0
5, 5, 3, 8, 0, 1
5, 5, 3, 8, 1, 0
5, 8, 3, 5, 0, 0
5, 8, 3, 5, 11, 1
5, 11, 0, 8, 3, 1
5, 11, 0, 11, 5, 1
5, 11, 5, 3, 8, 1
8, 0, 1, 8, 3, 0
8, 0, 5, 3, 8, 0
8, 0, 8, 3, 5, 1
8, 0, 11, 5, 3, 1
8, 1, 0, 1, 8, 0
8, 1, 0, 5, 3, 0
8, 1, 8, 3, 5, 0
8, 3, 5, 0, 0, 0
8, 3, 5, 0, 1, 0
8, 3, 5, 0, 3, 0
8, 3, 5, 0, 5, 0
8, 3, 5, 0, 8, 0
8, 3, 5, 3, 8, 0
8, 3, 5, 11, 0, 1
8, 3, 5, 11, 3, 1
8, 3, 5, 11, 5, 1
8, 3, 5, 11, 8, 1
8, 3, 5, 11, 11, 1
8, 3, 8, 1, 0, 0
8, 5, 3, 8, 0, 1
8, 5, 3, 8, 1, 0
8, 8, 3, 5, 0, 0
8, 8, 3, 5, 11, 1
8, 11, 5, 3, 8, 1
11, 0, 8, 3, 5, 1
11, 0, 11, 5, 3, 1
11, 3, 5, 11, 0, 1
11, 5, 3, 5, 11, 1
11, 5, 3, 8, 0, 1
11, 5, 3, 8, 3, 1
11, 5, 3, 8, 5, 1
11, 5, 3, 8, 8, 1
11, 5, 3, 8, 11, 1
11, 8, 3, 5, 11, 1
11, 11, 5, 3, 8, 1
