1,2,4
2,4,8
3,6,12
4,8,16
5,10,20
6,12,24
7,14,28
8,16,32
9,18,36
10,20,40
11,22,44
12,24,48
13,26,52
14,28,56
15,30,60
16,32,64
17,34,68
18,36,72
19,38,76
20,40,80
21,42,84
22,44,88
23,46,92
24,48,96
25,50,100
26,52,104
27,54,108
28,56,112
29,58,116
30,60,120
31,62,124
32,64,128
33,66,132
34,68,136
35,70,140
36,72,144
37,74,148
38,76,152
39,78,156
40,80,160
41,82,164
42,84,168
43,86,172
44,88,176
45,90,180
46,92,184
47,94,188
48,96,192
49,98,196
50,100,200
51,102,204
52,104,208
53,106,212
54,108,216
55,110,220
56,112,224
57,114,228
58,116,232
59,118,236
60,120,240
61,122,244
62,124,248
63,126,252
64,128,256
65,130,260
66,132,264
67,134,268
68,136,272
69,138,276
70,140,280
71,142,284
72,144,288
73,146,292
74,148,296
75,150,300
76,152,304
77,154,308
78,156,312
79,158,316
80,160,320
81,162,324
82,164,328
83,166,332
84,168,336
85,170,340
86,172,344
87,174,348
88,176,352
89,178,356
90,180,360
91,182,364
92,184,368
93,186,372
94,188,376
95,190,380
96,192,384
97,194,388
98,196,392
99,198,396
100,200,400
